text,processed_text,category
I am still waiting on my card?,i am still waiting on my card,card_arrival
What can I do if my card still hasn't arrived after 2 weeks?,what can i do if my card still hasn t arrived after weeks,card_arrival
I have been waiting over a week. Is the card still coming?,i have been waiting over a week is the card still coming,card_arrival
Can I track my card while it is in the process of delivery?,can i track my card while it is in the process of delivery,card_arrival
"How do I know if I will get my card, or if it is lost?",how do i know if i will get my card or if it is lost,card_arrival
When did you send me my new card?,when did you send me my new card,card_arrival
Do you have info about the card on delivery?,do you have info about the card on delivery,card_arrival
What do I do if I still have not received my new card?,what do i do if i still have not received my new card,card_arrival
Does the package with my card have tracking?,does the package with my card have tracking,card_arrival
I ordered my card but it still isn't here,i ordered my card but it still isn t here,card_arrival
Why has my new card still not come?,why has my new card still not come,card_arrival
"I still haven't received my card after two weeks, is it lost?",i still haven t received my card after two weeks is it lost,card_arrival
Can you track my card for me?,can you track my card for me,card_arrival
Is there a way to track the delivery of my card?,is there a way to track the delivery of my card,card_arrival
It's been a week since I ordered my card and it's not here. Please help?,it s been a week since i ordered my card and it s not here please help,card_arrival
Will I be able to track the card that was sent to me?,will i be able to track the card that was sent to me,card_arrival
I don't have my card in 1 week.  Should I be worried?,i don t have my card in week should i be worried,card_arrival
How do I know when my new card is going to arrive?,how do i know when my new card is going to arrive,card_arrival
My new card has not been delivered to my home yet. What is going on?,my new card has not been delivered to my home yet what is going on,card_arrival
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,it s been a week since you issued me a card and i still didn t get it should i keep waiting,card_arrival
"On the card that is coming, what's the tracking info?",on the card that is coming what s the tracking info,card_arrival
What is the status of my card's delivery?,what is the status of my card s delivery,card_arrival
Have you sent out my card yet?,have you sent out my card yet,card_arrival
My card isn't here yet.,my card isn t here yet,card_arrival
where is my new card?,where is my new card,card_arrival
It's been a week since you sent my card and I still don't have it.,it s been a week since you sent my card and i still don t have it,card_arrival
How do I track the card you sent me?,how do i track the card you sent me,card_arrival
When will I recieve my new card?,when will i recieve my new card,card_arrival
When will I get my new card?,when will i get my new card,card_arrival
What is the expected delivery date for my card?,what is the expected delivery date for my card,card_arrival
Is there a tracking number for the card you sent me?,is there a tracking number for the card you sent me,card_arrival
I would like to track the card you sent to me.,i would like to track the card you sent to me,card_arrival
Has my card been lost in delivery?,has my card been lost in delivery,card_arrival
My new card hasn't came in.,my new card hasn t came in,card_arrival
Where is the card I ordered 2 weeks ago?,where is the card i ordered weeks ago,card_arrival
Can I get an update on my replacement card?,can i get an update on my replacement card,card_arrival
How long does it take for a new card to ship?,how long does it take for a new card to ship,card_arrival
What's the tracking on the card you sent?,what s the tracking on the card you sent,card_arrival
