Actual,Predicted,Count
card_arrival,card_delivery_estimate,6
card_payment_not_recognised,compromised_card,5
get_disposable_virtual_card,getting_virtual_card,5
pending_transfer,transfer_timing,3
balance_not_updated_after_bank_transfer,transfer_timing,3
fiat_currency_support,exchange_via_app,3
card_delivery_estimate,card_arrival,3
pending_transfer,balance_not_updated_after_bank_transfer,3
declined_transfer,declined_card_payment,3
top_up_reverted,top_up_failed,3
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,3
top_up_by_bank_transfer_charge,transfer_fee_charged,3
pending_top_up,top_up_reverted,3
wrong_amount_of_cash_received,declined_cash_withdrawal,3
top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,2
fiat_currency_support,exchange_charge,2
pin_blocked,change_pin,2
disposable_card_limits,getting_virtual_card,2
transfer_fee_charged,top_up_by_bank_transfer_charge,2
transfer_fee_charged,extra_charge_on_statement,2
direct_debit_payment_not_recognised,extra_charge_on_statement,2
compromised_card,card_not_working,2
declined_transfer,failed_transfer,2
receiving_money,exchange_via_app,2
failed_transfer,beneficiary_not_allowed,2
exchange_charge,exchange_rate,2
extra_charge_on_statement,card_payment_fee_charged,2
card_swallowed,cash_withdrawal_not_recognised,2
Refund_not_showing_up,request_refund,2
visa_or_mastercard,supported_cards_and_currencies,2
virtual_card_not_working,card_not_working,2
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,2
balance_not_updated_after_bank_transfer,pending_transfer,2
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,2
why_verify_identity,verify_my_identity,2
beneficiary_not_allowed,transfer_into_account,2
pending_top_up,topping_up_by_card,2
virtual_card_not_working,disposable_card_limits,2
disposable_card_limits,get_disposable_virtual_card,2
transfer_not_received_by_recipient,transfer_timing,2
transfer_timing,balance_not_updated_after_bank_transfer,2
transfer_not_received_by_recipient,failed_transfer,2
card_payment_not_recognised,extra_charge_on_statement,2
card_payment_fee_charged,extra_charge_on_statement,2
pending_transfer,failed_transfer,1
pending_cash_withdrawal,declined_cash_withdrawal,1
pending_cash_withdrawal,pending_card_payment,1
pending_transfer,transfer_not_received_by_recipient,1
pin_blocked,get_physical_card,1
reverted_card_payment?,direct_debit_payment_not_recognised,1
reverted_card_payment?,declined_card_payment,1
pending_transfer,pending_card_payment,1
