category,total,correct,errors,error_rate
Refund_not_showing_up,40,37,3,0.075
activate_my_card,40,39,1,0.025
age_limit,40,40,0,0.0
apple_pay_or_google_pay,40,40,0,0.0
atm_support,40,39,1,0.025
automatic_top_up,40,38,2,0.05
balance_not_updated_after_bank_transfer,40,31,9,0.225
balance_not_updated_after_cheque_or_cash_deposit,40,38,2,0.05
beneficiary_not_allowed,40,37,3,0.075
cancel_transfer,40,39,1,0.025
card_about_to_expire,40,40,0,0.0
card_acceptance,40,38,2,0.05
card_arrival,40,32,8,0.2
card_delivery_estimate,40,36,4,0.1
card_linking,40,40,0,0.0
card_not_working,40,39,1,0.025
card_payment_fee_charged,40,37,3,0.075
card_payment_not_recognised,40,30,10,0.25
card_payment_wrong_exchange_rate,40,37,3,0.075
card_swallowed,40,37,3,0.075
cash_withdrawal_charge,40,38,2,0.05
cash_withdrawal_not_recognised,40,39,1,0.025
change_pin,40,39,1,0.025
compromised_card,40,34,6,0.15
contactless_not_working,40,37,3,0.075
country_support,40,40,0,0.0
declined_card_payment,40,39,1,0.025
declined_cash_withdrawal,40,39,1,0.025
declined_transfer,40,30,10,0.25
direct_debit_payment_not_recognised,40,33,7,0.175
disposable_card_limits,40,36,4,0.1
edit_personal_details,40,40,0,0.0
exchange_charge,40,37,3,0.075
exchange_rate,40,39,1,0.025
exchange_via_app,40,39,1,0.025
extra_charge_on_statement,40,34,6,0.15
failed_transfer,40,37,3,0.075
fiat_currency_support,40,34,6,0.15
get_disposable_virtual_card,40,33,7,0.175
get_physical_card,40,40,0,0.0
getting_spare_card,40,39,1,0.025
getting_virtual_card,40,39,1,0.025
lost_or_stolen_card,40,37,3,0.075
lost_or_stolen_phone,40,39,1,0.025
order_physical_card,40,38,2,0.05
passcode_forgotten,40,40,0,0.0
pending_card_payment,40,37,3,0.075
pending_cash_withdrawal,40,36,4,0.1
pending_top_up,40,35,5,0.125
pending_transfer,40,31,9,0.225
pin_blocked,40,36,4,0.1
receiving_money,40,37,3,0.075
request_refund,40,38,2,0.05
reverted_card_payment?,40,35,5,0.125
supported_cards_and_currencies,40,38,2,0.05
terminate_account,40,40,0,0.0
top_up_by_bank_transfer_charge,40,35,5,0.125
top_up_by_card_charge,40,40,0,0.0
top_up_by_cash_or_cheque,40,36,4,0.1
top_up_failed,40,38,2,0.05
top_up_limits,40,40,0,0.0
top_up_reverted,40,35,5,0.125
topping_up_by_card,40,35,5,0.125
transaction_charged_twice,40,40,0,0.0
transfer_fee_charged,40,35,5,0.125
transfer_into_account,40,37,3,0.075
transfer_not_received_by_recipient,40,33,7,0.175
transfer_timing,40,38,2,0.05
unable_to_verify_identity,40,39,1,0.025
verify_my_identity,40,39,1,0.025
verify_source_of_funds,40,40,0,0.0
verify_top_up,40,40,0,0.0
virtual_card_not_working,40,36,4,0.1
visa_or_mastercard,40,37,3,0.075
why_verify_identity,40,37,3,0.075
wrong_amount_of_cash_received,40,35,5,0.125
wrong_exchange_rate_for_cash_withdrawal,40,36,4,0.1
